subject,name,url
Accounting,FIN-6.01 - Administrative Rules Development (Accounting),article/54188
Accounting,FIN-6.02 - Generally Accepted Accounting Principles (GAAP) Hierarchy,article/54193
Accounting,FIN-6.03 - New Fund Establishment,article/54194
Accounting,FIN-6.04 - Accounts Receivable (AR),article/54195
Accounting,FIN-6.05 - Clothing and Equipment Allowances and Reimbursements,article/54196
Accounting,FIN-6.06 - Independent Contractors,article/54197
Accounting,FIN-6.07 - Leases,article/54199
Accounting,FIN-6.08 - Petty Cash and Change Accounts,article/54200
Accounting,FIN-6.10 - Cash,article/130468
Accounting,FIN-6.11 - Capital Assets,article/130469
Accounting,FIN-6.12 - Disposal of Capital Assets,article/130475
Accounting,FIN-6.13 - Overnight and Out-of-Town Travel,article/160271
Accounting,"FIN-6.14 - Non-travel Meals, Light Refreshments and Related Miscellaneous Expenses",article/160283
Accounting,FIN-6.15 - Internal Controls and Management's Responsibility,article/130479
Accounting,FIN-6.16 - Chart of Accounts,article/130480
Administrative Services,Purchasing,26882
Administrative Services,Elections,26883
Administrative Services,Government Relations,26884
Administrative Services,Public Involvement & Notification,26885
Administrative Services,Ombudsman,29615
Administrative Services,Council,34447
Administrative Services,Archives & Records Management,35190
Administrative Services,Hearings Officer,36057
Administrative Services,Fleet Services,36771
Administrative Services,Risk Management,36774
Administrative Services,Printing & Distribution,39339
Administrative Services,Facilities and Property Management,40189
Administrative Services,Revenue,41644
Administrative Services,Lobbying Entity Registration & Political Consultant Reporting Rules,71754
Administrative Services,Elected Officials,52813
Administrative Services,City Advisory Bodies (Boards and Commissions),55488
Administrative Services,Equity,68243
Administrative Services,Portland Sick Time,64648
Administrative Services,Regulation of Marijuana,68963
Administrative Services,Employment,71161
Administrative Services,See Also,32238
Archives & Records Management,ADM-8.01 - Preservation of Archival (Historical) Material,article/62974
Archives & Records Management,"ADM-8.02 - Paper Size Standard - 8 1/2"" X 11"" (Letter Size)",article/63075
Archives & Records Management,ADM-8.03 - Public Records Requests,article/185804
Archives & Records Management,ADM-8.04 - Transferring Records to the Archives and Records Center (PARC),article/261160
Archives & Records Management,ADM-8.05 - City Bureau Access to Records Stored at the Archives and Records Center (PARC),article/261182
Archives & Records Management,ADM-8.06 - Public Access to Records Stored at the Archives and Records Center (PARC),article/261194
Archives & Records Management,ADM-8.07 - Standards for Storing City Records,article/261199
Archives & Records Management,ADM-8.08 - Microfilm,article/261203
Archives & Records Management,ADM-8.09 - Destruction of Records,article/261209
Archives & Records Management,ADM-8.10 - Preparing City Record Retention Schedules,article/261217
Archives & Records Management,ADM-8.11 - Identification of Bureau Vital Records,article/261220
Archives & Records Management,"ADM-8.12 - Management, Preservation and Storage of Electronic Records and Electronic Mail Correspondence (E-Mail)",article/262374
Archives & Records Management,ADM-8.13  - Micrographic and Digital Imaging Conversion Policies,article/261227
Archives & Records Management,ADM-8.14 - Scanning Standards for Bureau Records,article/261235
Archives & Records Management,See Also Cultural Resource Records,article/56815
Arts Education and Access Income Tax,LIC-11.01 - Definitions,article/439045
Arts Education and Access Income Tax,LIC-11.02 - Authority of Division,article/439056
Arts Education and Access Income Tax,LIC-11.03 - Authority of Director,article/439079
Arts Education and Access Income Tax,LIC-11.04 - Disclosure of Financial Information,article/439083
Arts Education and Access Income Tax,LIC-11.05 - Request for Financial Information,article/439085
Arts Education and Access Income Tax,LIC-11.06 - Late Payments,article/439093
Arts Education and Access Income Tax,LIC-11.07 - Protests,article/439096
Arts Education and Access Income Tax,LIC-11.08 - Penalties,article/439101
Arts Education and Access Income Tax,LIC-11.09 - Residency,article/439108
Arts Education and Access Income Tax,LIC-11.10 - Household Exemption,article/439110
Arts Education and Access Income Tax,"LIC-11.11 - Liability Date of ""Eighteen Years Old""",article/439113
Arts Education and Access Income Tax,LIC-11.12 - Date for Paying Tax,article/439115
Arts Education and Access Income Tax,LIC-11.13 - Refund Claims,article/488242
Arts Education and Access Income Tax,LIC-11.14 - Disbursement Calculation for Districts with Charter Schools,article/488249
Arts Education and Access Income Tax,LIC-11.15 - Permanent Filing Exemption for Seniors or Permanently Disabled Individuals,article/523065
Arts Education and Access Income Tax,LIC-11.16 - Discretionary Penalty Waivers,article/531051
Arts Education and Access Income Tax,LIC-11.17 - Certified Arts or Music Education Teacher,article/648164
Assessments & Liens,ENB-12.07 - Lien Reduction Case Review Process (BDS),article/81550
Assessments & Liens,ENB-12.08 - Lien Reduction Case Review Process (ONI),article/120753
Assessments & Liens,ENB-12.09 - Collections and Foreclosure Process Redemption Interest Rate and Redemption Penalty Rate,article/593104
Assessments & Liens,See also Local Improvement District Policies,article/62937
Budget,FIN-1.01 - Fall FY 2001-02 Supplemental Budget,article/8789
Budget,FIN-1.02 - FY 2003-04 Annual Budget,article/52132
Budget,FIN-1.03  - FY 2003-04 State Revenue Sharing Program,article/52214
Budget,FIN-1.04 - Spring FY 2003-04 Supplemental Budget,article/55143
Budget,FIN-1.05 - Fall FY 2004-05 Supplemental Budget ,article/80274
Budget,FIN-1.06 - FY 2005-06 State Revenue Sharing Program,article/97219
Budget,FIN-1.07 - FY 2005-06 Annual Budget,article/97227
Budget,FIN-1.08 - Spring FY 2004-05 Supplemental Budget,article/97231
Budget,FIN-1.09 - FY 2004-05 Spring Minor Supplemental Budget,article/97235
Budget,FIN-1.10 - FY 2005-06 Fall Minor Supplemental Budget,article/102276
Budget,FIN-1.11 - FY 2005-06 Fall Supplemental Budget ,article/102278
Budget,FIN-1.12 - FY 2006-07 Annual Budget,article/134523
Budget,FIN-1.13 - FY 2006-07 State Revenue Sharing Program,article/134616
Budget,FIN-1.14 - FY 2006-07 Fall Major Supplemental Budget,article/154887
Budget,FIN-1.15 - FY 2006-07 Fall Minor Supplemental Budget,article/154936
Budget,FIN-1.16 - FY 2006-07 Winter Minor Supplemental Budget,article/155581
Budget,FIN-1.17 - FY 2005-06 Winter Minor Supplemental Budget,article/156559
Budget,FIN-1.18 - FY 2005-06 Spring Major Supplemental Budget,article/156565
Budget,FIN-1.19 - FY 2005-06 Spring Minor Supplemental Budget,article/156573
Budget,FIN-1.20 - FY 2006-07 Spring Minor Supplemental Budget,article/162024
Budget,FIN-1.21 - FY 2006-07 Spring Major Supplemental Budget,article/162056
Budget,FIN-1.22 - FY 2007-08 State Revenue Sharing Program,article/162092
Budget,FIN-1.23 - FY 2007-08 Annual Budget,article/162104
Budget,FIN-1.24 - FY 2007-08 Fall Major Supplemental Budget,article/177304
Budget,FIN-1.25 - FY 2007-08 Fall Minor Supplemental Budget,article/187254
Budget,FIN-1.26 - FY 2007-08 Winter Major Supplemental Budget,article/191886
Budget,FIN-1.27 - FY 2007-08 Winter Budget Adjustments,article/192062
Budget,FIN-1.28 - FY 2008-09 State Revenue Sharing Program,article/203109
Budget,FIN-1.29 - FY 2007-08 Spring Major Supplemental Budget,article/203325
Budget,FIN-1.30 - FY 2008-09 Annual Budget,article/203353
Budget,FIN-1.31 - FY 2007-08 Spring Budget Adjustments,article/203719
Budget,FIN-1.32 - FY 2008-09 Fall Major Supplemental Budget,article/224127
Budget,FIN-1.33 - FY 2008-09 Fall Budget Adjustment and Minor Supplemental Budget,article/224592
Budget,FIN-1.34 - FY 2008-09 Spring Major Supplemental Budget,article/269894
Budget,FIN-1.35 - FY 2008-09 Spring Minor Supplemental Budget,article/269911
Budget,FIN-1.36 - FY 2008-09 Winter Budget Adjustments,article/270172
Budget,FIN-1.37 - FY 2008-09 Major Supplemental Budget for the Grants Fund,article/270189
Budget,FIN-1.38 - FY 2009-10 Annual Budget,article/270217
Budget,FIN-1.39 - FY 2009-10 Services Provided by City for Eligibility for State Shared Revenues,article/270232
Budget,FIN-1.40 - FY 2009-10 Funds from State Under State Revenue Sharing Program,article/270227
Budget,FIN-1.41 - FY 2009-10 Fall Budget Adjustment and Minor Supplemental Budget,article/292142
Budget,FIN-1.42 - FY 2009-10 Winter Supplemental Budget,article/295476
